turma,periodo,professor,horario,cod_disciplina,,
1,2023.1,JONATHAS FELIPE AIRES FERREIRA (30h),6T2345 (28/03/2023 - 25/07/2023),CDT1101,,
1,2023.1,TANIA CRISTINA DA SILVA CRUZ (30h),6T2345 (28/03/2023 - 25/07/2023),CDT1101,,
1,2023.1,LAURA ANGELICA FERREIRA DARNET (60h),35T23,CDS0004,,
1,2023.1,ALEXANDRE BETINARDI STRAPASSON (60h),35N34,CDS0007,,
1,2023.1,CRISTIANE GOMES BARRETO (60h),35N34,CDS0007,,
3,2023.1,MAURO GUILHERME MAIDANA CAPPELLARO (60h),36N12,CDS0007,,
4,2023.1,ADRILANE BATISTA DE OLIVEIRA (60h),36N12,CDS0007,,
1,2023.1,MONICA CELEIDA RABELO NOGUEIRA (60h),35N34,CDS0008,,
1,2023.1,JESSICA PEREIRA GARCIA (30h),6N34,CDS0010,,
1,2023.1,DIEGO PEREIRA LINDOSO (30h),6N34,CDS0010,,
1,2023.1,FREDERIC ADELIN GEORGES MERTENS (60h),2T2345,CDS0011,,
2,2023.1,DIEGO PEREIRA LINDOSO (60h),35N34,CDS0012,,
2,2023.1,MAURO GUILHERME MAIDANA CAPPELLARO (60h),35N34,CDS0012,,
1,2023.1,STEPHANIE CAROLINE NASUTI (60h),35N12,CDS0013,,
1,2023.1,DIEGO PEREIRA LINDOSO (60h),35N12,CDS0015,,
2,2023.1,ALEXANDRE BETINARDI STRAPASSON (60h),3T2345,CDS0016,,
2,2023.1,IZABEL CRISTINA BRUNO BACELLAR ZANETI (60h),3T2345,CDS0016,,
1,2023.1,MAURICIO DE CARVALHO AMAZONAS (60h),35N34,CDS0019,,
1,2023.1,LAURA ANGELICA FERREIRA DARNET (60h),35T45 (28/03/2023 - 25/07/2023),CDS0032,,
2,2023.1,FABIANO TONI (60h),3T2345,CDS0035,,
2,2023.1,GUSTAVO MACEDO DE MELLO BAPTISTA (60h),3T2345,CDS0035,,
1,2023.1,MARUTSCHKA MARTINI MOESCH (60h),3T2345,CET0001,,
1,2023.1,FAGNO TAVARES DE OLIVEIRA (30h),4M34 (28/03/2023 - 25/07/2023),CET0002,,
1,2023.1,JOAO PAULO FARIA TASSO (60h),6M1234,CET0005,,
1,2023.1,FAGNO TAVARES DE OLIVEIRA (30h),4M12,CET0006,,
1,2023.1,MARUTSCHKA MARTINI MOESCH (30h),4M12,CET0007,,
2,2023.1,ALESSANDRA SANTOS DOS SANTOS (30h),4T2345,CET0012,,
2,2023.1,CAROLINA MENEZES PALHARES (30h),4T2345,CET0012,,
1,2023.1,MARUTSCHKA MARTINI MOESCH (60h),3M1234,CET0013,,
1,2023.1,MARUTSCHKA MARTINI MOESCH (60h),2T2345,CET0014,,
1,2023.1,JOAO PAULO FARIA TASSO (60h),3T2345,CET0022,,
1,2023.1,DONARIA COELHO DUARTE (30h),4T23,CET0032,,
2,2023.1,CAROLINA MENEZES PALHARES (30h),5T23,CET0035,,
1,2023.1,NEUZA DE FARIAS ARAUJO (30h),6M34,CET0036,,
1,2023.1,NEUZA DE FARIAS ARAUJO (30h),6M12,CET0037,,
1,2023.1,THIAGO SEBASTIANO DE MELO (60h),4M1234,CET0038,,
1,2023.1,JOAO PAULO FARIA TASSO (60h),5T2345,CET0039,,
1,2023.1,FAGNO TAVARES DE OLIVEIRA (60h),6M1234,CET0040,,
1,2023.1,ANGELA TEBERGA DE PAULA (60h),3M1234,CET0041,,
1,2023.1,NEUZA DE FARIAS ARAUJO (60h),5T2345,CET0042,,
1,2023.1,ANGELA TEBERGA DE PAULA (60h),2T2345,CET0043,,
1,2023.1,ANA ROSA DOMINGUES DOS SANTOS (60h),6M1234,CET0044,,
1,2023.1,LUIZ CARLOS SPILLER PENA (60h),4T2345,CET0045,,
1,2023.1,THIAGO SEBASTIANO DE MELO (15h),2M34,CET0046,,
1,2023.1,MARUTSCHKA MARTINI MOESCH (60h),4T2345,CET0050,,
1,2023.1,THIAGO SEBASTIANO DE MELO (30h),2M12,CET0051,,
1,2023.1,ANGELA TEBERGA DE PAULA (30h),4M34,CET0052,,
1,2023.1,ANA ROSA DOMINGUES DOS SANTOS (60h),2M1234,CET0053,,
1,2023.1,ANA ROSA DOMINGUES DOS SANTOS (60h),5M1234,CET0054,,
1,2023.1,THIAGO SEBASTIANO DE MELO (30h),3M23,CET0055,,
1,2023.1,MARUTSCHKA MARTINI MOESCH (30h),4M34 (28/03/2023 - 25/07/2023),CET0091,,
2,2023.1,ANA ROSA DOMINGUES DOS SANTOS (30h),4M34 (28/03/2023 - 25/07/2023),CET0091,,
1,2023.1,ANTONIO LUIS COSTA VARGAS (60h),6T2345,CEM0004,,
1,2023.1,JOÃO LUIZ HOMEM DE CARVALHO (30h),3N12,CEM0005,,
1,2023.1,MURILO SILVA DE CAMARGO (60h),2N1234,CEM0015,,
2,2023.1,MURILO SILVA DE CAMARGO (60h),4N1234,CEM0015,,
1,2023.1,VIVIANE DE MELO RESENDE (30h),3N12,CEM0018,,
2,2023.1,VIVIANE CRISTINA VIEIRA (30h),2N12,CEM0018,,
1,2023.1,ALBERTO LUÍS ARAÚJO SILVA FILHO (20h),4N1234,CEM0021,,
1,2023.1,LUCAS BRITO DE LIMA (20h),4N1234,CEM0021,,
1,2023.1,SILVIA BADIM MARQUES (20h),4N1234,CEM0021,,
1,2023.1,ENAILE DO ESPIRITO SANTO IADANZA (120h),3M5 7M1234  3T1 5T45,CEM0022,,
1,2023.1,HILTON PEREIRA DA SILVA (120h),3M5 7M1234  3T1 5T45,CEM0022,,
1,2023.1,MANOEL PEREIRA DE ANDRADE (120h),3M5 7M1234  3T1 5T45,CEM0022,,
1,2023.1,JITONE LEONIDAS SOARES (60h),7T2345,CEM0023,,
1,2023.1,JONATAS DE FRANCA BARROS (60h),7T2345,CEM0023,,
1,2023.1,ANDRE RIBEIRO DA SILVA (60h),7T2345,CEM0023,,
1,2023.1,RENATA MELO BARBOSA DO NASCIMENTO (60h),4T2345,CEM0043,,
2,2023.1,RENISIA CRISTINA GARCIA FILICE (60h),3N1234,CEM0043,,
1,2023.1,HILTON PEREIRA DA SILVA (60h),6M1234,CEM0047,,
1,2023.1,MANOEL PEREIRA DE ANDRADE (60h),6M1234,CEM0047,,
1,2023.1,ENAILE DO ESPIRITO SANTO IADANZA (60h),6M1234,CEM0047,,
1,2023.1,ANDRE RIBEIRO DA SILVA (60h),7M1234,CEM0051,,
1,2023.1,JACKELINE NERES BELLUCCI (60h),7M1234,CEM0051,,
1,2023.1,ISAIAS NERY FERREIRA (60h),7M1234,CEM0051,,
1,2023.1,RAUL LUÍS DE MELO DUSI (60h),7M1234,CEM0051,,
1,2023.1,TAYANE MEDEIROS DE OLIVEIRA (60h),7M1234,CEM0051,,
1,2023.1,ANDREA DE OLIVEIRA GONCALVES (60h),7M1234,CEM0051,,
1,2023.1,ALESSANDRA LISBOA DA SILVA (60h),7M1234,CEM0051,,
1,2023.1,SILVIA EMANOELLA SILVA MARTINS DE SOUZA (60h),7M1234,CEM0051,,
1,2023.1,JONATAS DE FRANCA BARROS (60h),7M1234,CEM0051,,
2,2023.1,JITONE LEONIDAS SOARES (60h),7M1234,CEM0051,,
2,2023.1,ANDRE RIBEIRO DA SILVA (60h),7M1234,CEM0051,,
